Prime Number,Num Service,Users,Avg_Latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,Throughput,error_rate,A_last_one_minutes_la,A_last_five_minutes_la,A_last_fifteen_minutes_la,B_last_one_minutes_la,B_last_five_minutes_la,B_last_fifteen_minutes_la,,,,,,
7919,3,100,18.45616857,2,190,31,38,55,5402.430406,0,4.22,4.3,3.98,5.07,4.64,3.63,3.93,4.14,3.3,4.99,4.93,4.09
7919,3,300,36.44437349,2,681,57,70,96,8216.359459,0,5.9,6.01,5.37,4.92,5.04,4.56,5.19,5.38,4.71,5.27,5.5,4.97
7919,3,500,59.08102681,2,567,112,136,182.99,8449.700887,0,8.75,7.35,6.55,6.95,6.69,5.86,7.19,7.08,6.3,5.83,6.69,6.11
7919,3,700,89.09845876,3,499,170,204,271,7843.836046,0,7.26,7.87,7.53,8.62,8.14,7.32,7.3,7.83,7.33,9.01,8.27,7.48
7919,3,1000,137.4211171,2,3079,241,306,558,7048.925189,6.932621175,6.48,6.48,6.91,8.16,8.91,8.42,8.2,8.14,7.75,11.16,10.49,9.26
10007,1,1,3.379809808,2,11,4,4,4,287.7987069,0,0.19,0.57,2.31,0.34,1.3,7.98,,,,,,
10007,1,2,2.962794766,2,152,3,4,4,655.5059412,0,0.88,0.7,1.3,0.43,0.59,3.33,,,,,,
10007,1,50,6.198113096,0,301,12,19,52,8003.818613,0,4.26,3.71,2.86,12.96,12.44,9.07,,,,,,
10007,1,100,13.00052422,0,341,26,43,93,7659.53287,0,6.1,4.71,3.87,20.76,18.5,15.09,,,,,,
10007,1,300,38.09255366,1,550,78,108,154,7860.370917,0,5.57,5.3,4.73,27.29,28.8,24.74,,,,,,
10007,1,500,60.86742484,1,923,109,141,224,8201.155347,0,5.5,5.67,5.29,21.11,22.84,23.73,,,,,,
10007,1,700,89.3449359,1,697,162,210,357,7819.574098,0,5.29,5.73,5.53,28.5,25.15,24.14,,,,,,
10007,1,1000,126.3321847,1,4016,243,306,397,7643.889926,6.343799852,4.32,4.98,5.21,24.85,23.97,23.98,,,,,,
10007,2,1,5.798250523,3,276,6,6,7,169.7768844,0,0.24,0.72,3.03,0.07,0.55,3.55,0.11,0.55,3.29,,,
10007,2,2,5.171778226,2,275,6,6,7,379.9913661,0,1.2,1.05,1.75,0.21,0.23,1.45,0.38,0.4,1.47,,,
10007,2,50,10.0426707,1,281,20,24,34,4953.657219,0,3.65,4.13,3.39,4.02,3.55,2.96,4.69,3.99,3.13,,,
10007,2,100,15.15612425,1,323,25,31,47,6575.181221,0,3.93,4.28,4.01,4.28,4.73,4.14,6.51,5.71,4.61,,,
10007,2,300,27.37977657,1,617,46,55,83,10928.74242,0,6.43,5.93,5.28,8.67,8.58,7.03,6.45,7.21,6.17,,,
10007,2,500,43.68479288,1,650,66,78,101,11412.66388,0,6.29,6.77,6.32,10.69,9.98,8.72,9.02,9.65,8.6,,,
10007,2,700,61.32565693,1,920,109,135,198,11385.4632,0,8.04,7.93,7.4,11.89,10.88,9.98,8.85,8.88,8.84,,,
10007,2,1000,101.8562575,1,3705,177,217,337,9444.933855,3.85989448,7.57,7.11,7.09,12.13,11.25,10.71,10.17,9.66,9.56,,,
10007,3,1,7.875612876,5,159,8,9,10,125.1020905,0,0.45,0.66,2.81,0.08,0.55,3.27,0.01,0.46,2.98,0.21,0.63,3.58
10007,3,2,7.265839654,4,155,8,8,10,271.4084035,0,0.75,0.98,1.69,0.1,0.29,1.41,0.23,0.22,1.24,0.06,0.26,1.52
10007,3,50,9.7415146,1,212,14,18,28,5106.472276,0,4.35,4.12,3.34,2.28,2.39,2.17,2.7,2.96,2.39,3.02,3.28,2.7
10007,3,100,19.62437692,2,223,33,39,54,5082.578518,0,4.4,4.43,4.06,5.04,4.79,3.74,5.46,5.06,4.08,4.29,4.65,4.01
10007,3,300,37.30067952,2,471,61,76,115,8028.735393,0,5.46,5.97,5.32,5.02,5.2,4.65,6.34,7.01,5.72,5.2,6.1,5.42
10007,3,500,60.61887395,3,443,113,135,187,8235.472054,0,7.92,7.44,6.51,6.97,6.35,5.64,9.71,8.27,6.94,5.51,6.03,6.02
10007,3,700,89.12974709,3,566,162,197,302,7838.345019,0,6.9,7.34,7.17,8.61,7.58,7.02,6.41,6.9,6.98,7.35,8.66,7.84
10007,3,1000,140.678737,2,4096,255,324,815.98,6876.347483,7.607805055,6.82,6.9,7.06,5.7,7.88,7.99,5.78,8.02,8.11,6.84,9.2,9.24
100003,1,1,9.014351739,4,160,10,11,12,109.6337929,0,0.28,0.47,2.09,0.55,1.83,9.52,,,,,,
100003,1,2,7.032001472,4,212,9,10,11,280.7870525,0,0.5,0.34,0.98,1.55,1.23,4.29,,,,,,
100003,1,50,53.25046397,5,571,125,150,208,937.5970879,0,1.86,1.1,1,18.56,16.62,12.35,,,,,,
100003,1,100,107.1104473,5,847,218,262,351.99,932.6907371,0,0.87,1.08,1.12,30.52,29.16,22.61,,,,,,
100003,1,300,302.9462,5,1515,551,644,948,989.4824716,0,2.26,2.11,1.68,52.82,48.73,39.29,,,,,,
100003,1,500,521.2181062,5,1788,770,838,1042.99,958.4508122,0,2.06,1.93,1.74,54.54,52.2,47.38,,,,,,
100003,1,700,732.2314353,13,2139,972,1054,1221,954.8169493,0,1.97,1.9,1.78,57.46,55.33,52.05,,,,,,
100003,1,1000,1070.96247,309,2675,1310,1391,1528,931.9764114,0,1.77,1.86,1.84,55.64,57.26,54.87,,,,,,
100003,2,1,13.17168968,8,285,14,14,16,75.32527277,0,0.15,0.55,2.8,0.44,0.84,4.21,0.3,0.7,3.77,,,
100003,2,2,12.47824355,8,284,13,13,15,158.9683243,0,0.21,0.33,1.24,0.6,0.67,1.96,0.68,0.6,1.77,,,
100003,2,50,28.74691187,6,392,57,72,105,1735.798613,0,2.96,3.18,2.53,14.46,12.33,8.6,8.21,10.06,7.43,,,
100003,2,100,58.15412398,5,624,115,143,206,1717.737029,0,3.38,3.47,3.05,14.95,15.05,12.63,14.79,15.19,12.4,,,
100003,2,300,188.5470895,6,1033,336,404,544,1590.195758,0,3.07,3.5,3.44,22.09,23.95,20.03,22.58,24.22,19.73,,,
100003,2,500,323.7231205,6,1485,592,702,848,1543.434232,0,4.81,3.93,3.69,27.04,30.49,27.44,33.18,29.78,25.11,,,
100003,2,700,451.7806898,6,1762,764,860,1009.99,1547.856204,0,5.13,4.49,4.11,38.58,39.28,34.93,38.7,33.3,29.55,,,
100003,2,1000,589.7518853,6,2605,838,923,1159.98,1693.294846,0,4.68,5.06,4.72,39.14,39.09,37.37,36.33,40.07,37.14,,,
100003,3,1,17.87886242,11,166,18,19,21,55.56055591,0,0.2,0.52,2.75,0.14,0.54,3.1,0.24,0.57,3.13,0.28,0.7,3.61
100003,3,2,17.11816145,11,165,18,18,20,116.0787059,0,0.5,0.46,1.31,0.34,0.43,1.44,0.41,0.38,1.39,0.57,0.52,1.69
100003,3,50,22.53734808,6,255,39,49,77,2213.128033,0,2.83,3.06,2.57,8,7.31,5.21,6.37,6.78,4.99,5.7,5.97,4.63
100003,3,100,42.10575473,5,455,73.9,94,136.99,2371.391238,0,3.8,3.56,3.18,14.81,13.68,10.8,6.6,7.37,6.41,7.76,7.7,6.47
100003,3,300,130.9076562,6,771,247,298,393,2290.11929,0,4.31,4.34,3.92,16.69,16.82,14.49,22.95,19.85,15.26,14.3,15.57,12.29
100003,3,500,234.4789767,6,1358,443,538,752,2130.575323,0,3.3,3.42,3.73,17.44,19.3,17.88,20.51,20.41,18.86,16.28,14.26,13.2
